ProductType,Billing_Start_Date,NRC,MRC,state,country
IDC,2009-09-16,500,1000,California,United States
IPLC,2009-12-08,0,850,Oregon,United States
IPLC,2009-12-09,430,850,Oregon,United States
IPLC,2010-10-20,430,850,Oregon,United States
IPLC,2010-10-20,430,850,Oregon,United States
IPLC,2011-12-21,0,2720,Oregon,United States
GIS,2012-06-15,0,6186,New York,United States
IDC,2012-09-01,0,3600,California,United States
IDC,2012-09-01,0,3600,California,United States
IPLC,2012-10-03,0,2720,Oregon,United States
IPLC,2012-10-03,0,2720,Oregon,United States
IPLC,2012-10-03,0,2720,Oregon,United States
IPLC,2012-10-03,0,2720,Oregon,United States
IPLC,2013-07-01,0,870,Oregon,United States
IDC,2014-03-24,92643,19470,California,United States
IDC,2014-03-24,295644,63130,California,United States
Project Item,2014-07-16,7042,0,California,United States
IPLC,2014-07-30,0,870,Oregon,United States
CPE(EI),2014-11-27,166270,0,California,United States
Project Item,2014-12-18,24000,0,New York,United States
Project Item,2015-02-19,796,0,Texas,United States
CPE(EI),2015-03-16,360000,0,California,United States
Project Item,2015-03-16,16929,0,New York,United States
Project Item,2015-04-03,8678,0,Michigan,United States
Project Item,2015-04-22,4264,0,South Carolina,United States
Project Item,2015-07-31,76000,0,Michigan,United States
Project Item,2015-08-14,19800,0,New York,United States
Project Item,2015-08-21,2385,0,South Carolina,United States
Project Item,2015-09-03,7620,0,California,United States
Project Item,2015-11-10,6824,0,California,United States
Project Item,2015-11-10,2250,0,California,United States
Project Item,2015-11-20,26320,0,Michigan,United States
Project Item,2016-01-12,3720,0,South Carolina,United States
Project Item,2016-01-21,364683,0,California,United States
Project Item,2016-01-21,117806,0,California,United States
Project Item,2016-01-31,101202,0,California,United States
Project Item,2016-03-08,18772,0,Michigan,United States
Project Item,2016-03-22,3000,0,Michigan,United States
Project Item,2016-04-27,260892,0,Michigan,United States
Project Item,2016-05-10,19037,0,California,United States
Project Item,2016-06-02,600,0,California,United States
Project Item,2016-06-21,4452,0,Michigan,United States
Project Item,2016-06-21,29247,0,Michigan,United States
Project Item,2016-06-24,8373,0,Michigan,United States
Project Item,2016-07-06,1324,0,California,United States
Project Item,2016-07-22,7202,0,Texas,United States
Project Item,2016-09-19,7301,0,Michigan,United States
Project Item,2016-10-17,17720,0,New York,United States
Project Item,2016-10-21,22880,0,Ohio,United States
IEPL,2016-11-03,2590,1250,California,United States
CPE(EI),2016-11-15,224295,0,California,United States
Project Item,2016-11-18,21731,0,District of Columbia,United States
Project Item,2016-11-18,71594,0,New York,United States
Project Item,2016-11-18,28970,0,South Carolina,United States
Project Item,2016-12-15,5646,0,Michigan,United States
In-house wiring,2017-01-01,7496,175,California,United States
Project Item,2017-01-08,86847,0,California,United States
Project Item,2017-01-08,7656,0,Michigan,United States
Project Item,2017-01-08,228740,0,California,United States
Project Item,2017-01-08,232340,0,California,United States
CPE(EI),2017-02-14,0,2352,California,United States
CPE(EI),2017-02-14,0,2352,California,United States
CPE(EI),2017-02-14,0,2352,California,United States
CPE(EI),2017-02-14,0,588,California,United States
CPE(EI),2017-02-14,0,2352,California,United States
Project Item,2017-02-14,40500,0,Michigan,United States
Project Item,2017-03-01,18914,0,Michigan,United States
Project Item,2017-03-02,330,0,Michigan,United States
Project Item,2017-03-02,6997,0,Michigan,United States
Project Item,2017-03-14,875,0,New York,United States
Project Item,2017-03-23,84800,0,California,United States
Project Item,2017-04-03,26121,0,South Carolina,United States
Project Item,2017-04-27,28529,0,South Carolina,United States
Project Item,2017-05-08,6400,0,New York,United States
Project Item,2017-05-08,7850,0,California,United States
Project Item,2017-05-22,6400,0,New York,United States
Project Item,2017-05-29,129066,0,South Carolina,United States
Project Item,2017-05-31,21209,0,South Carolina,United States
Project Item,2017-06-06,28337,0,California,United States
Project Item,2017-06-23,49590,0,California,United States
Project Item,2017-07-20,1161,0,New York,United States
Project Item,2017-07-20,47381,0,New York,United States
Project Item,2017-08-01,10332,0,Texas,United States
Project Item,2017-08-01,1804,0,California,United States
Project Item,2017-08-08,59187,0,South Carolina,United States
Project Item,2017-08-11,17295,0,South Carolina,United States
Project Item,2017-08-11,622587,0,Michigan,United States
Project Item,2017-08-11,157413,0,Michigan,United States
Project Item,2017-08-11,22119,0,Michigan,United States
Project Item,2017-08-11,33948,0,Michigan,United States
Project Item,2017-08-23,14760,0,California,United States
Project Item,2017-08-28,16862,0,New York,United States
Project Item,2017-08-28,16862,0,California,United States
Project Item,2017-08-29,1700,0,Illinois,United States
CPE,2017-09-01,680,220,Wisconsin,United States
Project Item,2017-09-05,39890,0,New Jersey,United States
Project Item,2017-09-07,-600,0,Texas,United States
Project Item,2017-09-07,4200,0,Texas,United States
Project Item,2017-09-11,5584,0,Minnesota,United States
Project Item,2017-09-15,14137,0,Michigan,United States
Project Item,2017-09-15,528,0,Michigan,United States
Project Item,2017-09-23,81805,6961,California,United States
Project Item,2017-10-25,7100,0,Illinois,United States
In-house wiring,2017-11-01,0,325,Virginia,United States
Project Item,2017-11-06,52564,0,Illinois,United States
IDC,2017-11-17,9870,1464,Virginia,United States
Project Item,2017-12-04,25689,0,New York,United States
Project Item,2017-12-12,17239,0,California,United States
Project Item,2017-12-14,3800,0,California,United States
Project Item,2017-12-15,1945,0,New York,United States
Project Item,2017-12-15,7162,0,New York,United States
Project Item,2017-12-31,201637,0,New Jersey,United States
Project Item,2017-12-31,2700,0,New Jersey,United States
Project Item,2018-01-05,360,0,New York,United States
Project Item,2018-01-05,13274,0,New Jersey,United States
Project Item,2018-01-05,230,0,New York,United States
Project Item,2018-01-05,59025,0,New Jersey,United States
Project Item,2018-01-05,68298,0,Michigan,United States
Project Item,2018-01-07,17742,0,South Carolina,United States
Project Item,2018-01-08,171878,0,New York,United States
Project Item,2018-01-12,9103,0,New York,United States
Project Item,2018-01-12,2500,0,New York,United States
Project Item,2018-01-12,2462,0,New York,United States
Project Item,2018-01-17,14000,0,South Carolina,United States
IEPL,2018-01-19,207956,0,New York,United States
GIS2.0,2018-01-19,3000,450,California,United States
Project Item,2018-01-23,264403,0,California,United States
Project Item,2018-01-23,6813,0,Illinois,United States
Project Item,2018-01-23,6000,0,Illinois,United States
Project Item,2018-01-23,15126,0,Michigan,United States
GIS2.0,2018-01-25,0,14150,California,United States
Project Item,2018-01-30,12185,0,South Carolina,United States
Project Item,2018-02-08,1214493,0,South Carolina,United States
Project Item,2018-02-08,3964,0,New Jersey,United States
Project Item,2018-02-08,365507,0,South Carolina,United States
Project Item,2018-03-01,2000,0,Massachusetts,United States
Project Item,2018-03-01,8024,0,California,United States
Project Item,2018-03-02,3054,0,South Carolina,United States
Project Item,2018-03-02,11625,0,South Carolina,United States
Project Item,2018-03-02,318,0,South Carolina,United States
Project Item,2018-03-02,30876,0,South Carolina,United States
Project Item,2018-03-08,2340,0,California,United States
Project Item,2018-03-14,2650,0,Virginia,United States
Project Item,2018-03-15,51115,0,Texas,United States
Project Item,2018-03-15,24126,0,Texas,United States
In-house wiring,2018-03-15,300,200,California,United States
Project Item,2018-03-23,560,0,New Jersey,United States
Project Item,2018-04-17,6041,0,Florida,United States
Project Item,2018-04-17,3986,0,California,United States
Project Item,2018-04-17,3200,0,California,United States
Project Item,2018-04-17,4710,0,New York,United States
Project Item,2018-04-20,79383,0,Massachusetts,United States
Project Item,2018-05-01,502112,0,California,United States
GIS2.0,2018-05-01,0,13316,California,United States
Project Item,2018-05-01,35572,0,California,United States
Project Item,2018-05-04,6817,0,Arkansas,United States
Project Item,2018-05-09,5570,0,Massachusetts,United States
Project Item,2018-05-09,1295,0,Massachusetts,United States
Project Item,2018-05-17,18620,0,Texas,United States
Project Item,2018-05-17,27055,0,Texas,United States
Project Item,2018-05-17,3000,0,Texas,United States
Project Item,2018-05-25,12338,0,Illinois,United States
Project Item,2018-05-25,5932,0,Illinois,United States
Project Item,2018-06-05,6713,0,New York,United States
Project Item,2018-06-05,614,0,New York,United States
Project Item,2018-07-01,54974,0,California,United States
Project Item,2018-07-01,661077,0,California,United States
Project Item,2018-07-09,7893,0,South Carolina,United States
Project Item,2018-07-16,2826,0,Michigan,United States
CPE,2018-07-16,0,93,Texas,United States
Project Item,2018-07-23,51978,0,South Carolina,United States
Project Item,2018-07-23,33698,0,California,United States
Project Item,2018-07-23,17359,0,South Carolina,United States
Project Item,2018-07-31,3567,0,Virginia,United States
Project Item,2018-08-06,136324,0,Virginia,United States
Netcare,2018-08-08,0,65,Texas,United States
Project Item,2018-08-09,7200,0,Massachusetts,United States
