ProductType,CircuitStatus,Billing_Start_Date,Currency,NRC,MRC,Bandwidth,city,state,country
CPE(EI),ACTIVE,2019-01-03,USD,0.0,202.0,0,Shanghai,Shanghai,China
Local Internet Access,ACTIVE,2019-01-08,USD,1000.0,520.0,50,Yinchuan,Ningxia,China
VPN,ACTIVE,2019-01-09,USD,2500.0,3458.0,20,Nanjing,Jiangsu,China
VPN,ACTIVE,2019-01-09,USD,2500.0,4779.0,30,Guangzhou,Guangdong,China
VPN,ACTIVE,2019-01-09,USD,2500.0,4779.0,30,Guangzhou,Guangdong,China
In-house wiring,ACTIVE,2019-01-10,USD,400.0,245.0,0,Hillsboro CLS,Oregon,United States
VPN,ACTIVE,2019-01-15,USD,0.0,5155.0,10,Shanghai,Shanghai,China
Netcare,ACTIVE,2019-01-15,USD,0.0,45.0,0,Shanghai,Shanghai,China
Local Internet Access,ACTIVE,2019-01-23,USD,0.0,900.0,50,Beijing,Beijing,China
Netcare,ACTIVE,2019-02-01,USD,0.0,85.0,0,Beijing,Beijing,China
Netcare,ACTIVE,2019-02-01,USD,0.0,85.0,0,Québec,Québec,Canada
VPN,ACTIVE,2019-02-01,USD,1250.0,885.0,10,Québec,Canada,Toronto
VPN,ACTIVE,2019-02-01,USD,2500.0,1864.0,10,Shanghai,Shanghai,China
IEPL,ACTIVE,2019-02-01,USD,0.0,7000.0,1000,Shanghai,Shanghai,China
Dark Fiber,ACTIVE,2019-02-11,USD,0.0,2472.5,0,Santa Clara,California,United States
Dark Fiber,ACTIVE,2019-02-11,USD,0.0,2472.5,0,Santa Clara,California,United States
Dark Fiber,ACTIVE,2019-02-11,USD,0.0,2472.5,0,Santa Clara,California,United States
Dark Fiber,ACTIVE,2019-02-11,USD,0.0,2472.5,0,Santa Clara,California,United States
Local Internet Access,ACTIVE,2019-02-14,USD,0.0,456.0,10,Beijing,Beijing,China
IDC,ACTIVE,2019-02-14,USD,1000.0,342.0,0,Beijing,Beijing,China
IDC,ACTIVE,2019-02-14,USD,0.0,1425.0,0,Shanghai,Shanghai,China
Local Internet Access,ACTIVE,2019-02-14,USD,1000.0,342.0,10,Shanghai,Shanghai,China
Local Internet Access,ACTIVE,2019-02-14,USD,0.0,301.91,10,Shanghai,Shanghai,China
IDC,ACTIVE,2019-02-14,USD,0.0,434.72,0,Shanghai,Shanghai,China
VPN,ACTIVE,2019-02-22,USD,0.0,5155.0,10,Shanghai,Shanghai,China
Netcare,ACTIVE,2019-02-22,USD,0.0,45.0,0,Shanghai,Shanghai,China
IEPL,ACTIVE,2019-02-26,USD,7059.0,5260.0,2,Shanghai,Ulaanbaatar,China
Netcare,ACTIVE,2019-03-01,USD,0.0,85.0,0,Ontario,Ontario,Canada
Netcare,ACTIVE,2019-03-01,USD,0.0,85.0,0,Tianjin,Tianjin,China
